elephant_id,day_of_season,hour_of_day,longitude_km,latitude_km,ambient_temp_c,true_region
EL-226,28,7,41.262,36.922,22.8,Migration Corridor
EL-303,19,17,47.072,13.059,14.2,Home Range
EL-731,26,11,26.423,8.914,26.2,Feeding Ground
EL-638,21,21,12.214,33.697,15.5,Stray/Noise
EL-183,59,19,8.069,40.602,29.2,Main Waterhole
EL-898,56,21,46.987,13.119,27.8,Home Range
EL-900,70,20,42.108,37.659,24.9,Secondary Waterhole
EL-728,23,18,26.275,28.473,27.3,Migration Corridor
EL-157,52,12,41.751,38.042,29.3,Secondary Waterhole
EL-912,78,20,34.819,32.884,31.0,Migration Corridor
EL-502,16,21,7.83,40.398,24.1,Main Waterhole
EL-245,54,5,42.015,38.331,25.8,Secondary Waterhole
EL-178,44,19,45.374,13.146,29.3,Home Range
EL-653,18,21,25.112,7.51,22.0,Feeding Ground
EL-192,15,4,29.735,22.349,18.4,Stray/Noise
EL-565,70,22,7.971,39.597,26.2,Main Waterhole
EL-900,52,6,17.444,7.282,23.0,Stray/Noise
EL-739,29,23,8.511,40.369,15.6,Main Waterhole
EL-173,14,2,24.586,8.143,25.9,Feeding Ground
EL-142,83,20,7.525,40.075,27.8,Main Waterhole
EL-884,36,3,7.762,39.283,31.6,Main Waterhole
EL-450,50,4,24.461,7.034,33.0,Feeding Ground
EL-268,82,4,5.707,13.642,17.9,Stray/Noise
EL-953,13,12,41.768,37.049,25.7,Secondary Waterhole
EL-466,50,23,24.721,8.139,32.3,Feeding Ground
EL-282,28,7,41.802,36.882,24.9,Secondary Waterhole
EL-849,17,3,38.119,10.477,26.9,Stray/Noise
EL-692,18,11,42.151,37.679,29.2,Secondary Waterhole
EL-336,19,3,42.578,38.048,20.0,Secondary Waterhole
EL-138,56,9,36.193,33.485,31.3,Migration Corridor
EL-690,90,11,26.22,6.74,24.5,Feeding Ground
EL-992,67,17,41.883,37.714,29.9,Secondary Waterhole
EL-570,75,1,43.001,38.481,38.4,Secondary Waterhole
EL-750,3,18,7.078,39.307,36.5,Main Waterhole
EL-538,68,1,24.49,29.038,32.6,Migration Corridor
EL-910,29,18,24.166,8.049,29.1,Feeding Ground
EL-525,44,6,46.716,12.178,30.3,Home Range
EL-126,68,6,42.339,37.676,30.4,Secondary Waterhole
EL-314,89,9,35.738,33.948,27.4,Migration Corridor
EL-796,18,12,19.32,30.071,33.9,Migration Corridor
EL-453,19,21,24.692,8.657,36.0,Feeding Ground
EL-960,28,9,47.615,12.671,30.8,Home Range
EL-316,61,6,31.812,31.058,21.2,Migration Corridor
EL-455,42,8,46.394,11.24,21.7,Home Range
EL-725,73,6,8.025,39.961,28.9,Main Waterhole
EL-680,58,9,18.138,30.499,25.0,Migration Corridor
EL-206,72,0,34.879,32.646,34.4,Migration Corridor
EL-285,35,11,24.837,9.114,26.2,Feeding Ground
EL-399,60,1,8.01,39.829,25.3,Main Waterhole
EL-940,47,14,43.701,11.67,32.4,Home Range
EL-239,77,0,42.169,37.983,29.5,Secondary Waterhole
EL-925,25,23,36.58,32.286,29.1,Migration Corridor
EL-193,21,6,41.055,11.972,23.2,Home Range
EL-635,84,4,7.865,40.107,27.4,Main Waterhole
EL-234,9,1,8.191,40.065,21.7,Main Waterhole
EL-686,82,2,41.891,38.232,22.3,Secondary Waterhole
EL-298,12,5,41.514,38.101,25.6,Secondary Waterhole
EL-423,37,18,25.277,8.57,28.9,Feeding Ground
EL-519,83,6,41.794,37.491,28.5,Secondary Waterhole
EL-458,42,6,41.617,38.255,37.6,Secondary Waterhole
EL-878,35,2,41.809,36.978,19.0,Secondary Waterhole
EL-751,15,23,45.637,10.302,26.6,Home Range
EL-801,53,20,23.368,8.38,33.3,Feeding Ground
EL-541,46,1,42.473,12.716,29.2,Home Range
EL-576,82,15,7.96,40.322,24.4,Main Waterhole
EL-944,57,2,8.075,39.654,26.0,Main Waterhole
EL-789,62,13,45.533,10.678,27.7,Home Range
EL-167,18,3,8.28,40.357,34.4,Main Waterhole
EL-620,69,4,42.043,38.253,22.5,Secondary Waterhole
EL-745,53,7,43.345,35.952,35.8,Stray/Noise
EL-782,33,9,22.481,7.837,30.3,Feeding Ground
EL-576,83,12,18.677,31.024,26.0,Migration Corridor
EL-111,53,0,25.648,7.485,25.5,Feeding Ground
EL-468,51,5,41.846,37.609,26.8,Secondary Waterhole
EL-656,81,10,39.933,35.805,28.1,Migration Corridor
EL-207,16,9,41.691,37.947,32.5,Secondary Waterhole
EL-939,32,4,33.181,28.59,29.4,Stray/Noise
EL-621,37,0,42.417,11.199,24.8,Home Range
EL-159,70,2,8.4,39.809,27.7,Main Waterhole
EL-313,88,0,41.681,37.877,26.6,Secondary Waterhole
EL-358,82,9,22.685,6.935,36.1,Feeding Ground
EL-583,71,10,14.238,34.845,30.9,Migration Corridor
EL-631,7,0,8.273,40.41,21.8,Main Waterhole
EL-763,2,22,24.564,10.518,26.7,Feeding Ground
EL-236,56,19,8.627,39.559,24.8,Main Waterhole
EL-755,27,4,42.187,38.068,32.8,Secondary Waterhole
EL-141,79,19,25.444,6.533,27.8,Feeding Ground
EL-417,44,0,25.913,8.635,24.2,Feeding Ground
EL-466,15,0,26.132,8.08,33.8,Feeding Ground
EL-151,11,17,25.517,7.96,25.4,Feeding Ground
EL-120,31,4,41.921,38.325,34.5,Secondary Waterhole
EL-354,85,18,8.308,39.96,27.1,Main Waterhole
EL-384,35,23,25.674,6.73,31.0,Feeding Ground
EL-685,2,17,26.062,28.886,29.1,Migration Corridor
EL-571,70,18,36.647,33.976,26.3,Migration Corridor
EL-227,5,19,8.183,39.8,30.8,Main Waterhole
EL-678,88,19,22.116,28.551,18.9,Migration Corridor
EL-978,45,4,20.035,29.955,29.1,Migration Corridor
EL-583,53,22,8.195,39.73,23.6,Main Waterhole
EL-723,7,11,7.832,40.19,29.4,Main Waterhole
EL-534,40,6,26.546,8.161,31.3,Feeding Ground
EL-329,40,6,43.953,12.244,25.3,Home Range
EL-699,64,1,8.196,40.267,30.2,Main Waterhole
EL-179,51,10,40.975,13.922,25.0,Stray/Noise
EL-709,18,1,8.397,40.248,26.0,Main Waterhole
EL-246,23,11,38.825,9.036,28.1,Stray/Noise
EL-879,89,4,8.844,38.384,28.4,Migration Corridor
EL-717,6,18,25.672,8.73,21.5,Feeding Ground
EL-739,3,10,8.272,40.097,34.3,Main Waterhole
EL-552,15,5,9.877,0.893,23.6,Stray/Noise
EL-361,25,12,7.589,40.117,29.1,Main Waterhole
EL-664,76,4,24.406,8.037,26.5,Feeding Ground
EL-694,76,19,44.807,11.676,25.3,Home Range
EL-141,8,20,7.443,39.564,21.8,Main Waterhole
EL-597,3,20,37.259,35.162,28.4,Migration Corridor
EL-839,43,8,26.494,7.958,33.1,Feeding Ground
EL-425,17,10,16.081,10.228,25.9,Stray/Noise
EL-771,56,5,26.147,34.834,24.0,Stray/Noise
EL-974,10,12,24.59,6.19,25.0,Feeding Ground
EL-373,2,12,30.559,11.513,21.0,Stray/Noise
EL-582,28,15,8.093,40.408,21.5,Main Waterhole
EL-359,60,23,42.006,38.672,25.7,Secondary Waterhole
EL-984,87,15,7.656,40.276,30.4,Main Waterhole
EL-873,62,9,8.008,39.734,26.8,Main Waterhole
EL-357,67,8,7.927,39.88,25.6,Main Waterhole
EL-857,88,17,42.312,38.264,26.9,Secondary Waterhole
EL-338,2,10,8.597,39.743,34.8,Main Waterhole
EL-113,56,2,44.35,12.29,25.0,Home Range
EL-656,41,7,8.679,39.47,23.6,Main Waterhole
EL-170,13,13,7.464,40.171,32.6,Main Waterhole
EL-580,43,5,8.025,39.676,15.3,Main Waterhole
EL-851,37,13,41.961,36.974,23.8,Migration Corridor
EL-421,32,11,41.601,14.252,31.0,Home Range
EL-854,3,15,8.344,39.579,29.6,Main Waterhole
EL-408,73,9,24.755,9.073,28.6,Feeding Ground
EL-922,25,18,23.647,10.589,25.1,Feeding Ground
EL-191,11,19,7.762,40.487,30.3,Main Waterhole
EL-808,32,13,25.345,8.714,34.7,Feeding Ground
EL-890,90,1,41.735,37.895,27.4,Secondary Waterhole
EL-366,49,11,24.332,6.986,29.9,Feeding Ground
EL-241,48,5,25.16,7.421,21.5,Feeding Ground
EL-857,36,17,41.371,37.893,32.5,Secondary Waterhole
EL-646,82,3,29.727,29.023,19.0,Migration Corridor
EL-397,49,6,8.341,40.443,28.9,Main Waterhole
EL-682,12,13,26.416,29.585,29.5,Migration Corridor
EL-169,13,6,41.895,37.89,28.4,Secondary Waterhole
EL-545,80,6,25.727,8.599,22.7,Feeding Ground
EL-278,33,2,21.058,30.869,26.9,Migration Corridor
EL-134,16,8,24.986,29.543,25.4,Migration Corridor
EL-571,88,17,26.035,28.685,22.2,Migration Corridor
EL-109,22,3,42.599,38.115,27.9,Secondary Waterhole
EL-657,51,15,44.764,9.329,20.8,Stray/Noise
EL-280,73,13,11.643,35.977,31.5,Migration Corridor
EL-196,72,2,16.053,32.182,30.0,Migration Corridor
EL-770,82,19,15.555,32.3,24.1,Migration Corridor
EL-798,5,17,41.461,38.243,31.4,Secondary Waterhole
EL-218,89,16,23.999,8.206,19.9,Feeding Ground
EL-737,52,19,41.528,38.46,23.4,Secondary Waterhole
EL-820,16,11,17.748,13.404,27.1,Stray/Noise
EL-634,42,6,24.169,6.444,30.3,Feeding Ground
EL-439,35,6,11.701,36.626,21.8,Migration Corridor
EL-580,1,18,49.105,10.697,30.5,Home Range
EL-164,10,19,23.09,7.252,22.2,Feeding Ground
EL-846,75,6,8.15,39.687,25.0,Main Waterhole
EL-271,87,10,42.625,37.805,27.5,Secondary Waterhole
EL-906,52,7,8.356,39.49,18.9,Main Waterhole
EL-272,50,0,7.308,40.003,33.2,Main Waterhole
EL-367,31,1,3.697,38.555,23.6,Stray/Noise
EL-688,4,15,8.135,39.607,18.6,Main Waterhole
EL-611,13,22,41.501,37.378,22.4,Secondary Waterhole
EL-942,14,14,7.855,39.985,31.0,Main Waterhole
EL-927,58,9,31.862,38.807,24.0,Stray/Noise
EL-351,63,6,8.067,40.076,19.1,Main Waterhole
EL-528,85,5,26.133,7.755,23.7,Feeding Ground
EL-272,65,10,42.544,37.611,26.4,Secondary Waterhole
EL-857,90,10,8.426,40.438,24.9,Main Waterhole
EL-185,65,17,8.602,39.692,27.0,Main Waterhole
EL-900,88,22,47.347,14.611,23.7,Home Range
EL-217,38,15,42.053,37.498,25.0,Secondary Waterhole
EL-518,53,19,41.584,38.201,27.8,Secondary Waterhole
EL-401,80,2,42.105,11.252,25.4,Home Range
EL-633,44,21,41.548,38.009,26.6,Secondary Waterhole
EL-330,37,18,7.925,40.046,25.5,Main Waterhole
EL-509,18,19,41.911,37.824,29.4,Secondary Waterhole
EL-565,68,2,22.38,30.348,26.1,Migration Corridor
EL-585,33,19,26.42,9.208,24.8,Feeding Ground
EL-704,31,3,8.457,39.91,27.7,Main Waterhole
EL-401,6,13,7.906,40.5,21.0,Main Waterhole
EL-596,23,21,8.235,39.558,32.5,Migration Corridor
EL-721,23,0,8.185,39.532,29.7,Main Waterhole
EL-886,42,7,25.96,29.339,32.4,Migration Corridor
EL-469,61,3,41.959,37.172,32.9,Secondary Waterhole
EL-304,70,5,26.234,6.796,24.2,Feeding Ground
EL-352,65,8,23.801,29.615,29.5,Migration Corridor
EL-710,67,11,7.887,39.483,30.4,Main Waterhole
EL-494,75,21,21.567,30.03,24.9,Migration Corridor
EL-884,45,18,7.74,40.113,29.4,Main Waterhole
EL-304,78,17,7.45,40.351,24.3,Main Waterhole
EL-422,41,11,7.949,39.721,27.1,Main Waterhole
EL-678,30,16,24.342,8.339,27.2,Feeding Ground
EL-347,13,12,8.505,40.628,25.9,Main Waterhole
EL-240,18,11,24.321,7.458,21.0,Feeding Ground
EL-839,58,12,8.412,39.963,31.8,Main Waterhole
EL-283,24,17,41.964,38.266,28.2,Secondary Waterhole
EL-178,18,19,44.574,11.489,28.2,Home Range
EL-452,38,11,22.705,29.759,33.1,Migration Corridor
EL-261,51,18,41.447,38.049,39.7,Secondary Waterhole
EL-143,10,9,7.42,40.06,26.0,Main Waterhole
EL-918,30,10,42.023,37.599,31.5,Secondary Waterhole
EL-485,59,0,7.631,39.668,25.6,Main Waterhole
EL-427,26,1,43.106,37.409,37.1,Secondary Waterhole
EL-651,40,15,24.239,7.535,32.0,Feeding Ground
EL-522,86,21,8.115,40.455,32.5,Main Waterhole
EL-156,69,8,16.818,32.573,26.9,Migration Corridor
EL-856,67,13,8.168,39.665,24.6,Main Waterhole
EL-374,1,19,31.644,30.987,20.5,Migration Corridor
EL-884,76,2,25.618,28.257,20.3,Migration Corridor
EL-594,58,17,42.27,37.806,23.3,Secondary Waterhole
EL-713,66,8,40.058,36.226,26.6,Migration Corridor
EL-366,48,4,7.965,40.274,20.7,Main Waterhole
EL-835,21,16,7.814,39.42,33.5,Main Waterhole
EL-537,73,16,25.152,8.706,31.2,Feeding Ground
EL-335,61,23,7.972,40.322,25.7,Main Waterhole
EL-811,44,4,7.945,39.695,30.1,Main Waterhole
EL-351,7,17,7.641,40.612,22.6,Main Waterhole
EL-241,39,12,42.352,38.426,22.4,Secondary Waterhole
EL-916,18,7,8.376,39.717,22.9,Main Waterhole
EL-277,5,9,39.107,36.251,22.7,Migration Corridor
EL-635,42,18,8.096,39.408,25.3,Main Waterhole
EL-712,40,2,45.261,10.763,30.1,Home Range
EL-627,48,10,41.469,38.461,22.4,Secondary Waterhole
EL-956,3,7,7.815,40.109,24.4,Main Waterhole
EL-416,13,5,8.19,39.281,26.0,Main Waterhole
EL-221,39,20,41.717,38.525,26.4,Secondary Waterhole
EL-581,12,22,40.3,35.266,24.6,Migration Corridor
EL-130,89,4,42.496,38.175,24.2,Secondary Waterhole
EL-195,28,22,7.91,40.03,26.5,Main Waterhole
EL-960,6,1,43.831,10.986,25.2,Home Range
EL-595,70,16,10.698,37.26,23.6,Migration Corridor
EL-747,64,2,7.472,40.137,20.3,Main Waterhole
EL-306,7,18,24.765,5.71,19.8,Feeding Ground
EL-161,7,4,41.287,37.199,32.4,Secondary Waterhole
EL-301,64,9,8.165,40.324,26.5,Main Waterhole
EL-667,34,12,7.504,40.004,24.4,Main Waterhole
EL-186,15,0,41.156,38.494,29.0,Secondary Waterhole
EL-980,84,14,50.243,9.542,27.3,Home Range
EL-251,13,3,25.202,7.986,24.8,Feeding Ground
EL-800,31,13,7.783,39.72,26.4,Main Waterhole
EL-228,18,18,25.553,6.49,30.3,Feeding Ground
EL-567,84,17,8.734,40.534,34.0,Main Waterhole
EL-277,12,10,42.727,38.088,29.3,Secondary Waterhole
EL-426,67,17,27.594,28.911,31.8,Migration Corridor
EL-433,53,7,39.67,35.968,30.0,Migration Corridor
EL-167,1,4,8.375,39.968,27.0,Main Waterhole
EL-562,66,8,25.112,7.525,30.5,Feeding Ground
EL-860,19,16,43.423,8.335,26.3,Home Range
EL-685,72,2,25.036,9.615,22.7,Feeding Ground
EL-384,43,9,8.496,40.547,23.7,Main Waterhole
EL-348,14,12,8.068,40.248,24.8,Main Waterhole
EL-648,12,6,30.075,29.992,23.4,Migration Corridor
EL-610,5,2,8.422,40.267,24.3,Main Waterhole
EL-992,62,19,35.332,33.967,23.3,Migration Corridor
EL-687,73,3,7.76,39.97,23.0,Main Waterhole
EL-628,81,0,7.827,39.886,29.5,Main Waterhole
EL-210,52,7,25.32,7.601,31.8,Feeding Ground
EL-262,60,18,8.317,39.956,23.5,Main Waterhole
EL-271,67,7,42.092,38.547,30.9,Secondary Waterhole
EL-356,26,7,42.29,37.256,25.1,Secondary Waterhole
EL-388,81,22,24.646,6.651,33.8,Feeding Ground
EL-188,51,8,42.045,38.24,22.7,Secondary Waterhole
EL-485,74,12,43.914,13.487,33.4,Home Range
EL-336,76,15,29.505,29.625,24.0,Migration Corridor
EL-588,75,3,7.941,40.171,13.9,Main Waterhole
EL-605,65,21,25.805,9.386,23.9,Feeding Ground
EL-856,1,19,42.026,38.11,34.4,Secondary Waterhole
EL-761,36,11,27.814,28.32,31.6,Migration Corridor
EL-739,79,9,24.283,8.566,22.0,Feeding Ground
EL-296,50,7,8.23,40.309,21.2,Main Waterhole
EL-411,10,9,21.952,29.844,37.8,Migration Corridor
EL-839,90,23,14.043,34.482,20.4,Migration Corridor
EL-628,10,13,35.628,32.461,27.1,Migration Corridor
EL-933,31,17,8.092,40.131,23.5,Main Waterhole
EL-949,49,23,30.563,29.465,29.1,Migration Corridor
EL-852,42,3,7.892,39.888,28.2,Main Waterhole
EL-323,21,7,34.528,31.197,27.3,Migration Corridor
EL-983,1,11,24.986,8.039,20.1,Feeding Ground
EL-344,21,19,44.042,12.069,34.4,Home Range
EL-883,57,13,41.526,37.69,29.3,Secondary Waterhole
EL-306,69,2,8.448,40.219,27.9,Main Waterhole
EL-647,28,2,17.686,30.678,26.6,Migration Corridor
EL-177,38,2,41.431,37.497,30.2,Secondary Waterhole
EL-675,48,6,41.441,37.11,34.7,Migration Corridor
EL-787,55,21,20.121,30.608,29.9,Migration Corridor
EL-442,71,11,46.561,11.161,26.9,Home Range
EL-253,26,16,25.963,8.798,31.1,Feeding Ground
EL-186,88,1,43.245,13.322,24.9,Home Range
EL-978,28,9,8.392,39.797,32.7,Main Waterhole
EL-667,85,3,22.302,28.911,29.6,Migration Corridor
EL-810,17,20,28.898,29.847,17.4,Migration Corridor
EL-591,41,9,26.212,7.863,27.1,Feeding Ground
EL-742,73,5,45.911,9.996,27.2,Home Range
EL-410,88,7,8.078,39.723,33.4,Main Waterhole
EL-878,13,7,8.846,39.799,30.4,Main Waterhole
EL-655,16,12,8.059,39.617,17.3,Main Waterhole
EL-623,3,11,8.288,39.819,20.4,Main Waterhole
EL-344,42,3,7.879,40.112,15.4,Main Waterhole
EL-352,71,10,13.08,33.793,20.0,Migration Corridor
EL-421,71,11,30.243,29.741,29.9,Migration Corridor
EL-245,62,6,43.656,14.086,31.5,Home Range
EL-564,58,16,24.309,6.617,30.7,Feeding Ground
EL-573,9,20,7.781,40.123,23.5,Main Waterhole
