studio,primary_genre,genre_count,source_material,demographic,episodes,episode_length_min,animation_budget_tier,marketing_spend_tier,voice_cast_popularity,director_experience_years,studio_prior_hits,release_season,release_year,has_sequel_potential_arc,mal_rating,popularity_score,success_tier
WIT Studio,Comedy,3,Light Novel,Shoujo,12,24,Medium,Medium,6.77,6.5,9,Winter,2024,0,8.67,100.0,Hit
Madhouse,Fantasy,2,Original,Shounen,12,12,Medium,Medium,6.02,8.8,7,Spring,2017,1,9.44,100.0,Hit
A-1 Pictures,Adventure,3,Light Novel,Shounen,12,24,Medium,Low,5.2,2.2,7,Spring,2016,0,6.47,47.9,Average
Pierrot,Mystery,2,Light Novel,Shoujo,12,24,Medium,Medium,3.61,15.7,1,Spring,2022,1,3.82,37.1,Flop
WIT Studio,Romance,3,Visual Novel,Seinen,25,24,Medium,Medium,6.95,11.7,6,Spring,2019,1,8.65,100.0,Hit
Doga Kobo,Isekai,3,Light Novel,Josei,100,24,Low,Medium,6.23,10.6,7,Winter,2020,1,6.5,71.9,Average
Madhouse,Romance,3,Light Novel,Shoujo,24,24,Medium,Low,5.57,3.8,3,Summer,2020,1,9.16,90.4,Hit
MAPPA,Romance,1,Light Novel,Shoujo,100,24,Medium,Low,7.7,17.6,4,Summer,2020,0,10.0,100.0,Hit
Pierrot,Supernatural,1,Web Novel,Seinen,12,24,Low,Low,4.92,10.2,6,Summer,2020,1,4.33,28.6,Flop
MAPPA,Comedy,3,Manga,Shounen,12,24,Low,High,5.55,14.3,5,Winter,2021,0,9.03,100.0,Hit
Production I.G,Psychological,1,Light Novel,Shounen,12,24,Medium,Medium,6.6,8.4,2,Winter,2024,0,8.49,98.2,Hit
Pierrot,Drama,1,Web Novel,Josei,13,24,Medium,Low,4.54,4.0,7,Fall,2015,0,6.12,44.0,Flop
CloverWorks,Sci-Fi,2,Light Novel,Seinen,12,12,High,High,6.72,15.7,8,Winter,2021,0,9.7,100.0,Hit
Doga Kobo,Drama,1,Light Novel,Seinen,12,24,Medium,Low,4.59,15.4,5,Winter,2016,0,5.48,67.0,Average
ufotable,Action,1,Manga,Shoujo,12,24,High,Medium,7.33,2.7,10,Summer,2021,0,10.0,99.3,Hit
Studio Deen,Adventure,3,Original,Josei,12,12,Low,Low,3.25,6.7,3,Summer,2018,0,6.13,55.5,Average
WIT Studio,Action,2,Manga,Shounen,100,24,High,Low,9.0,4.7,5,Summer,2024,1,10.0,99.9,Hit
A-1 Pictures,Action,1,Manga,Shounen,25,24,Medium,Medium,4.63,9.5,7,Fall,2020,1,5.99,53.4,Average
ufotable,Romance,3,Original,Shounen,100,24,High,Low,5.16,12.5,13,Summer,2016,0,10.0,100.0,Hit
A-1 Pictures,Mystery,2,Original,Shounen,12,24,High,Low,3.68,2.6,6,Winter,2021,1,10.0,100.0,Hit
Sunrise,Sports,1,Manga,Seinen,24,12,High,Medium,7.96,3.1,5,Summer,2023,0,10.0,100.0,Hit
Bones,Action,1,Web Novel,Shounen,100,24,Low,Low,5.7,9.4,5,Fall,2017,0,6.2,43.9,Flop
WIT Studio,Comedy,2,Original,Shounen,50,24,Low,Medium,4.66,6.1,12,Winter,2016,1,10.0,91.3,Hit
Studio Deen,Mystery,2,Visual Novel,Shounen,25,24,High,High,3.43,6.9,3,Spring,2021,0,6.19,77.1,Average
Trigger,Comedy,2,Visual Novel,Shoujo,50,24,Low,Medium,6.39,6.3,6,Winter,2016,0,4.79,59.8,Flop
ufotable,Comedy,1,Visual Novel,Shounen,25,24,Low,Medium,5.26,7.7,6,Summer,2016,0,7.76,57.0,Average
Doga Kobo,Action,2,Light Novel,Seinen,26,24,Low,Medium,2.43,12.4,3,Winter,2024,0,3.79,33.8,Flop
WIT Studio,Drama,2,Web Novel,Seinen,24,24,Low,Low,6.36,9.3,3,Fall,2018,0,7.54,68.8,Hit
Toei Animation,Horror,2,Web Novel,Seinen,12,24,Medium,Medium,5.54,5.8,5,Summer,2018,0,8.03,58.5,Average
CloverWorks,Isekai,2,Original,Shounen,26,24,Medium,Medium,6.5,12.9,6,Summer,2024,0,8.38,85.1,Hit
J.C.Staff,Action,1,Light Novel,Shounen,12,24,High,Low,4.67,7.6,4,Fall,2023,0,9.28,86.9,Hit
ufotable,Sci-Fi,3,Manga,Shounen,12,24,Low,Low,5.35,10.8,8,Spring,2016,0,9.69,77.1,Hit
Lerche,Fantasy,2,Manga,Shounen,26,24,Low,High,5.23,6.5,3,Fall,2019,0,5.24,42.3,Flop
Production I.G,Romance,1,Manga,Seinen,26,24,Medium,High,6.04,3.6,9,Summer,2020,0,8.82,100.0,Hit
A-1 Pictures,Romance,2,Manga,Seinen,100,24,High,Low,7.93,11.7,8,Summer,2016,0,8.16,91.4,Hit
Bones,Sports,1,Manga,Seinen,12,24,Medium,High,5.44,17.5,7,Spring,2018,1,7.43,90.8,Hit
CloverWorks,Slice of Life,1,Web Novel,Shounen,12,24,Medium,High,7.65,5.7,6,Spring,2020,0,7.72,98.7,Hit
Sunrise,Mystery,1,Light Novel,Shounen,26,24,Medium,Low,2.76,11.7,6,Fall,2023,0,5.41,52.4,Flop
Toei Animation,Slice of Life,2,Light Novel,Shounen,26,24,Low,Medium,5.16,0.0,0,Spring,2022,1,5.09,45.5,Flop
Sunrise,Adventure,2,Light Novel,Shounen,12,12,High,Low,4.63,9.3,9,Fall,2023,0,7.6,97.1,Hit
Diomedea,Sci-Fi,2,Light Novel,Shounen,12,24,Medium,Medium,2.52,10.8,5,Fall,2021,0,4.2,78.5,Average
Kyoto Animation,Slice of Life,3,Manga,Shounen,25,12,Medium,Medium,8.64,13.3,6,Spring,2019,0,9.98,100.0,Hit
MAPPA,Action,1,Light Novel,Shounen,26,24,Medium,Medium,6.71,13.1,7,Spring,2019,1,10.0,95.0,Hit
ufotable,Sports,1,Visual Novel,Shounen,12,24,Low,Low,6.0,8.7,12,Winter,2021,1,9.07,100.0,Hit
Bones,Fantasy,1,Manga,Seinen,12,24,Medium,Medium,6.83,4.3,8,Summer,2023,0,7.71,68.5,Hit
Pierrot,Slice of Life,2,Original,Josei,13,24,Medium,Low,4.48,10.6,7,Spring,2015,1,6.87,80.0,Hit
Trigger,Mecha,2,Original,Seinen,100,24,Medium,Medium,7.18,10.5,8,Spring,2018,1,9.87,86.9,Hit
Sunrise,Drama,2,Web Novel,Seinen,12,24,High,Low,6.08,7.5,4,Fall,2020,1,7.83,82.2,Hit
Silver Link,Action,1,Original,Shounen,12,12,Medium,Medium,6.49,3.0,5,Spring,2021,0,7.89,61.7,Hit
Production I.G,Sci-Fi,1,Manga,Shounen,12,12,Low,Low,5.75,3.0,11,Spring,2021,1,8.72,70.9,Hit
WIT Studio,Slice of Life,2,Light Novel,Seinen,24,24,Low,Medium,5.62,8.3,5,Fall,2015,0,8.79,100.0,Hit
Doga Kobo,Mystery,3,Game,Shounen,24,24,Low,High,8.52,2.4,7,Winter,2018,1,8.14,54.3,Average
Sunrise,Slice of Life,2,Light Novel,Shounen,100,12,High,Medium,3.06,12.1,8,Winter,2020,1,9.15,83.5,Hit
Zero-G,Psychological,1,Light Novel,Seinen,26,24,High,Low,4.64,7.4,2,Summer,2022,1,4.86,20.0,Flop
WIT Studio,Fantasy,1,Manga,Seinen,12,24,High,Low,6.18,4.7,21,Summer,2017,0,8.16,86.3,Hit
Silver Link,Isekai,1,Original,Shounen,100,24,Low,Low,3.03,1.9,3,Winter,2017,0,6.17,76.6,Average
Studio Deen,Horror,3,Game,Seinen,24,24,Medium,Medium,1.48,5.8,3,Summer,2015,0,7.19,83.6,Hit
Trigger,Supernatural,1,Manga,Seinen,12,24,Medium,Low,5.74,12.6,9,Winter,2017,0,7.16,97.5,Hit
ufotable,Horror,2,Original,Seinen,25,24,Medium,High,9.41,8.2,5,Summer,2021,1,10.0,100.0,Hit
Lerche,Sports,3,Manga,Shounen,12,24,High,Medium,4.71,3.1,2,Spring,2024,1,7.58,71.4,Hit
Studio Deen,Action,2,Web Novel,Shounen,24,12,High,Medium,4.53,14.8,11,Fall,2024,1,5.4,58.6,Average
MAPPA,Mecha,1,Original,Josei,26,24,Medium,Low,8.26,7.0,10,Summer,2016,1,10.0,100.0,Hit
Bones,Slice of Life,3,Visual Novel,Shounen,24,24,High,Medium,4.54,5.1,4,Fall,2023,0,8.68,100.0,Hit
A-1 Pictures,Psychological,2,Web Novel,Shounen,50,24,Low,Medium,2.81,7.2,8,Winter,2016,0,3.55,61.2,Flop
ufotable,Isekai,3,Original,Seinen,25,24,Medium,Low,6.64,4.8,5,Winter,2017,0,9.57,86.3,Hit
Pierrot,Mecha,2,Visual Novel,Shounen,50,24,Medium,Low,4.52,14.3,5,Fall,2018,1,6.69,80.4,Hit
Toei Animation,Comedy,2,Manga,Seinen,12,24,Low,Medium,3.77,8.9,8,Summer,2015,0,7.11,61.3,Average
MAPPA,Adventure,3,Original,Shoujo,12,24,Medium,Low,7.55,8.3,6,Winter,2018,0,10.0,85.0,Hit
Doga Kobo,Adventure,2,Manga,Seinen,12,24,Medium,Medium,1.0,8.2,6,Winter,2018,0,6.72,62.9,Average
Production I.G,Sci-Fi,1,Original,Seinen,12,24,Low,Low,7.3,6.4,3,Winter,2024,1,5.52,70.9,Average
Trigger,Psychological,3,Light Novel,Shoujo,100,24,Medium,High,5.43,8.6,10,Summer,2021,0,10.0,99.4,Hit
Sunrise,Mystery,1,Manga,Shounen,13,24,High,Low,5.52,6.5,8,Summer,2022,0,5.2,45.6,Flop
Doga Kobo,Adventure,1,Original,Josei,12,24,Medium,High,3.76,6.3,5,Summer,2022,0,7.06,92.8,Hit
A-1 Pictures,Sci-Fi,3,Visual Novel,Shounen,12,24,High,Low,5.19,15.5,10,Winter,2018,0,7.79,83.1,Hit
Production I.G,Supernatural,2,Light Novel,Seinen,24,24,Medium,Medium,3.01,5.6,6,Summer,2022,0,7.33,54.3,Average
CloverWorks,Horror,2,Light Novel,Shounen,12,24,High,High,5.34,7.0,7,Fall,2017,0,10.0,100.0,Hit
Bones,Adventure,2,Manga,Shounen,12,24,Low,Medium,7.04,8.9,5,Summer,2018,1,5.98,61.3,Average
Diomedea,Romance,1,Original,Seinen,12,24,High,Low,4.39,5.6,3,Winter,2016,0,7.02,83.7,Hit
Studio Deen,Sports,2,Manga,Shoujo,13,24,Low,Medium,3.96,5.5,2,Spring,2017,0,6.22,39.3,Flop
Kyoto Animation,Fantasy,2,Manga,Seinen,24,24,High,Low,7.07,7.3,9,Winter,2021,1,10.0,96.9,Hit
Sunrise,Psychological,3,Manga,Shounen,24,24,Medium,Low,3.32,8.0,7,Winter,2017,1,7.69,90.2,Hit
Bones,Fantasy,1,Manga,Shounen,13,24,Medium,Medium,5.4,15.8,13,Summer,2022,0,10.0,74.1,Hit
Sunrise,Mystery,3,Light Novel,Shoujo,12,12,Medium,High,8.12,10.5,9,Spring,2023,1,9.14,84.9,Hit
Kyoto Animation,Drama,2,Manga,Shounen,24,24,Medium,Low,3.94,3.5,7,Fall,2021,0,8.51,91.4,Hit
Lerche,Adventure,1,Manga,Shounen,26,24,Medium,Medium,3.96,4.5,5,Summer,2015,1,4.86,67.7,Average
Kyoto Animation,Drama,3,Light Novel,Shounen,26,24,High,Low,3.84,13.5,8,Winter,2017,1,10.0,84.2,Hit
Studio Deen,Isekai,3,Manga,Shoujo,24,24,High,High,6.05,9.5,6,Winter,2019,0,9.58,100.0,Hit
Sunrise,Horror,2,Light Novel,Shounen,25,24,Low,Low,4.63,8.0,3,Spring,2015,0,5.83,40.8,Flop
Studio Deen,Sci-Fi,2,Light Novel,Shounen,24,24,Medium,Medium,6.4,8.1,5,Spring,2019,0,3.02,53.5,Flop
Silver Link,Fantasy,2,Original,Shounen,50,24,Medium,Medium,6.25,7.5,3,Fall,2021,0,6.29,42.1,Flop
Toei Animation,Fantasy,3,Manga,Shounen,26,24,Low,Low,4.04,13.1,3,Fall,2018,1,6.69,72.0,Average
Sunrise,Drama,2,Manga,Seinen,100,12,Medium,Medium,3.94,8.4,5,Spring,2021,0,7.35,51.7,Average
Sunrise,Psychological,2,Light Novel,Shounen,12,24,Medium,Medium,6.5,11.6,11,Fall,2019,0,9.55,84.6,Hit
Production I.G,Adventure,2,Game,Seinen,12,12,Medium,Medium,5.91,7.9,9,Fall,2024,0,6.44,65.1,Average
Kyoto Animation,Sci-Fi,2,Manga,Shounen,25,24,Low,High,6.97,5.9,9,Fall,2019,1,10.0,96.5,Hit
WIT Studio,Isekai,1,Original,Shounen,12,24,Medium,High,6.64,6.6,11,Spring,2022,0,10.0,100.0,Hit
CloverWorks,Psychological,2,Web Novel,Shounen,26,12,Low,Medium,4.75,9.2,8,Spring,2015,0,9.79,100.0,Hit
MAPPA,Supernatural,1,Manga,Shounen,24,24,High,Medium,6.49,11.9,7,Summer,2018,0,10.0,96.0,Hit
Studio Deen,Sci-Fi,1,Manga,Seinen,12,24,Medium,Medium,5.17,5.3,6,Winter,2015,1,4.75,62.1,Flop
A-1 Pictures,Psychological,1,Original,Shounen,12,24,Low,Low,6.49,8.4,6,Spring,2023,1,4.72,49.8,Flop
Toei Animation,Supernatural,3,Manga,Shoujo,13,24,Low,Low,5.21,16.8,7,Winter,2018,1,4.68,67.3,Flop
Toei Animation,Isekai,3,Visual Novel,Shoujo,24,24,High,Low,5.43,8.4,6,Fall,2021,0,8.67,74.3,Hit
Trigger,Sports,2,Original,Shounen,24,24,Low,Medium,7.66,2.4,9,Spring,2016,1,9.72,96.5,Hit
CloverWorks,Mystery,1,Manga,Shounen,13,24,Low,Medium,3.93,3.7,9,Summer,2019,0,8.18,80.0,Hit
Trigger,Psychological,2,Manga,Shounen,12,24,Low,Low,5.61,8.2,6,Fall,2015,1,8.34,93.9,Hit
CloverWorks,Psychological,1,Light Novel,Shoujo,24,24,High,Low,6.73,5.7,7,Winter,2022,0,6.62,74.1,Average
ufotable,Slice of Life,3,Manga,Shounen,12,24,Medium,High,5.99,7.7,8,Summer,2018,1,9.9,91.9,Hit
CloverWorks,Drama,2,Light Novel,Seinen,13,24,Low,High,4.05,11.3,5,Fall,2016,1,6.25,68.0,Average
CloverWorks,Isekai,1,Light Novel,Josei,13,24,Low,Medium,5.76,10.8,6,Winter,2016,1,7.69,75.2,Hit
Zero-G,Comedy,3,Visual Novel,Shounen,26,24,Low,High,4.0,4.7,4,Winter,2024,0,5.71,68.0,Average
Studio Deen,Action,2,Original,Seinen,24,24,High,High,4.14,4.4,4,Winter,2021,0,7.26,77.1,Hit
Pierrot,Horror,2,Manga,Shounen,24,24,Medium,Low,3.21,11.3,9,Spring,2023,0,7.2,61.0,Average
Madhouse,Adventure,3,Manga,Seinen,24,12,Low,High,8.58,7.7,8,Summer,2017,0,9.48,82.6,Hit
Pierrot,Slice of Life,3,Manga,Shounen,24,24,Medium,Low,2.63,12.3,5,Winter,2020,0,6.59,88.7,Hit
J.C.Staff,Slice of Life,1,Manga,Seinen,50,24,Medium,Medium,4.19,14.3,7,Spring,2018,0,7.36,88.2,Hit
Diomedea,Adventure,2,Original,Shounen,12,24,Low,Medium,3.74,11.7,5,Fall,2019,1,2.62,28.1,Flop
Madhouse,Action,1,Manga,Shounen,100,24,Low,Medium,7.27,11.8,6,Spring,2018,0,9.37,89.5,Hit
Sunrise,Slice of Life,2,Manga,Seinen,50,24,Low,Medium,5.14,8.4,6,Spring,2016,0,9.14,100.0,Hit
Sunrise,Sports,3,Manga,Shounen,24,24,Medium,High,5.83,0.0,4,Summer,2020,0,6.08,79.3,Average
Silver Link,Comedy,3,Web Novel,Josei,13,12,High,Medium,4.51,7.0,5,Winter,2022,1,6.87,82.4,Hit
Zero-G,Sports,2,Manga,Seinen,12,12,High,Medium,5.29,1.4,6,Spring,2022,0,7.06,55.8,Average
Diomedea,Sports,3,Manga,Shounen,26,24,Medium,Medium,3.65,2.7,11,Spring,2017,0,6.0,56.4,Average
WIT Studio,Mystery,1,Manga,Seinen,50,24,Medium,Medium,6.95,2.6,6,Spring,2017,1,9.29,97.7,Hit
Doga Kobo,Drama,2,Manga,Seinen,24,24,Low,Low,5.32,2.9,7,Fall,2022,0,5.05,68.1,Average
ufotable,Horror,1,Light Novel,Shounen,25,24,Medium,Low,9.84,2.0,7,Summer,2019,1,9.59,86.4,Hit
WIT Studio,Psychological,2,Light Novel,Seinen,50,24,Medium,Low,3.89,6.2,7,Spring,2024,0,8.38,95.3,Hit
Diomedea,Romance,2,Manga,Seinen,50,24,Low,Medium,2.84,15.6,5,Summer,2021,0,3.32,30.6,Flop
Trigger,Sports,3,Visual Novel,Josei,12,24,Low,Medium,5.68,9.2,9,Summer,2023,1,8.02,93.2,Hit
Diomedea,Psychological,3,Original,Shounen,50,24,Medium,Low,3.35,17.7,4,Spring,2023,0,3.92,39.3,Flop
Sunrise,Action,1,Manga,Seinen,12,12,Medium,High,3.42,1.6,2,Spring,2020,0,9.06,94.4,Hit
Silver Link,Horror,2,Light Novel,Shounen,13,24,Medium,Low,6.03,6.5,7,Summer,2019,1,5.22,57.5,Flop
Studio Deen,Horror,1,Manga,Shounen,12,24,Medium,Low,5.69,9.4,5,Winter,2017,1,5.69,38.0,Flop
CloverWorks,Romance,3,Visual Novel,Shoujo,100,24,Medium,Medium,3.53,5.5,7,Winter,2024,1,8.75,100.0,Hit
Madhouse,Horror,1,Web Novel,Shounen,12,24,High,Medium,4.75,3.4,8,Summer,2021,1,9.68,100.0,Hit
Silver Link,Mystery,2,Visual Novel,Shounen,13,24,Medium,High,3.88,13.1,5,Summer,2023,0,7.23,64.1,Average
Lerche,Horror,2,Manga,Seinen,13,24,Medium,Medium,5.32,8.4,4,Winter,2024,0,4.95,60.8,Flop
Studio Deen,Mystery,1,Manga,Shounen,12,12,Medium,Low,3.26,11.4,3,Summer,2016,0,5.78,39.0,Flop
Silver Link,Horror,1,Original,Josei,12,24,Low,High,4.28,7.4,4,Fall,2015,1,5.8,66.0,Average
CloverWorks,Isekai,2,Light Novel,Shounen,12,24,Low,Low,5.06,8.3,10,Fall,2024,1,7.29,50.4,Average
Lerche,Adventure,1,Manga,Seinen,50,24,High,Low,3.08,0.0,4,Spring,2015,1,7.1,68.2,Average
Lerche,Adventure,1,Original,Seinen,50,24,Low,Medium,2.59,1.8,3,Spring,2023,0,3.94,34.9,Flop
Kyoto Animation,Sports,1,Original,Shounen,13,12,Medium,Low,8.44,10.9,7,Spring,2021,0,8.68,82.0,Hit
MAPPA,Romance,1,Light Novel,Josei,12,24,High,High,4.94,10.8,11,Winter,2022,0,10.0,100.0,Hit
Pierrot,Slice of Life,2,Original,Seinen,100,24,Low,High,4.35,9.7,8,Summer,2020,0,6.74,62.0,Average
Zero-G,Slice of Life,3,Light Novel,Seinen,25,24,Medium,High,6.11,9.0,5,Summer,2015,0,6.55,57.8,Average
Trigger,Comedy,2,Light Novel,Shounen,13,24,Low,Medium,5.39,12.0,5,Fall,2023,1,8.11,96.5,Hit
ufotable,Sci-Fi,3,Manga,Shoujo,13,24,Medium,Low,8.0,0.0,12,Fall,2017,0,8.81,100.0,Hit
Doga Kobo,Adventure,3,Manga,Shounen,13,24,Low,Medium,5.36,8.3,6,Fall,2020,0,6.97,69.0,Average
Madhouse,Mecha,1,Game,Shoujo,50,24,High,Low,6.86,7.1,9,Spring,2017,1,9.65,96.4,Hit
Zero-G,Sci-Fi,2,Visual Novel,Shounen,12,24,Medium,Medium,1.71,8.3,6,Fall,2018,0,4.22,44.4,Flop
Kyoto Animation,Drama,2,Game,Josei,25,24,Medium,Low,4.0,4.8,10,Winter,2024,0,7.37,76.7,Hit
Diomedea,Drama,2,Manga,Shounen,100,24,Low,High,2.79,5.7,6,Fall,2021,0,7.09,73.0,Average
ufotable,Fantasy,3,Manga,Josei,24,24,Low,Low,8.97,8.7,10,Spring,2021,1,10.0,100.0,Hit
Studio Deen,Action,1,Light Novel,Shounen,26,24,High,Medium,2.89,7.1,4,Winter,2023,0,4.76,52.3,Flop
Kyoto Animation,Drama,1,Light Novel,Seinen,12,24,Low,Medium,8.39,8.0,9,Summer,2018,1,9.59,100.0,Hit
WIT Studio,Horror,2,Manga,Shounen,26,24,High,Low,6.09,8.5,8,Spring,2019,0,9.46,99.7,Hit
J.C.Staff,Mystery,1,Light Novel,Shounen,12,24,Medium,High,4.18,6.2,12,Fall,2015,0,10.0,100.0,Hit
Kyoto Animation,Drama,3,Web Novel,Shounen,50,24,Medium,High,5.15,12.7,4,Spring,2023,1,9.69,79.1,Hit
WIT Studio,Drama,3,Light Novel,Shounen,24,24,Medium,Low,5.69,3.0,6,Summer,2020,0,9.12,100.0,Hit
Studio Deen,Comedy,2,Manga,Shounen,24,24,High,Medium,5.2,8.9,2,Fall,2023,0,6.75,57.7,Average
Production I.G,Sports,1,Manga,Seinen,24,24,High,Medium,8.29,11.6,4,Fall,2015,1,10.0,90.3,Hit
Madhouse,Drama,1,Visual Novel,Shounen,50,24,High,High,6.0,0.8,6,Fall,2022,1,9.44,100.0,Hit
ufotable,Comedy,2,Manga,Shounen,26,24,Low,Low,5.37,5.6,3,Spring,2018,0,6.91,82.6,Hit
Production I.G,Isekai,3,Manga,Seinen,26,24,Medium,High,3.19,0.0,8,Spring,2018,1,10.0,100.0,Hit
MAPPA,Action,1,Manga,Shounen,24,12,Low,High,4.32,13.1,8,Fall,2020,0,10.0,93.5,Hit
ufotable,Sci-Fi,3,Light Novel,Seinen,50,12,Medium,Low,6.66,6.2,5,Winter,2018,1,9.34,100.0,Hit
Lerche,Romance,2,Manga,Shoujo,12,24,Low,Low,7.07,10.9,8,Spring,2021,1,4.73,49.2,Flop
MAPPA,Horror,1,Original,Seinen,24,12,High,Medium,4.52,9.3,5,Winter,2024,0,8.74,97.3,Hit
Doga Kobo,Slice of Life,2,Light Novel,Seinen,12,24,Low,Low,5.3,8.1,5,Spring,2018,1,4.99,61.1,Flop
Production I.G,Psychological,3,Game,Shounen,12,12,Low,Medium,3.85,3.5,6,Summer,2018,0,6.62,71.6,Average
Doga Kobo,Supernatural,3,Manga,Shounen,12,24,Low,Medium,6.11,10.0,8,Summer,2023,0,6.51,45.0,Average
Pierrot,Comedy,1,Original,Shounen,12,24,Low,Low,4.77,14.5,9,Spring,2021,0,6.32,59.3,Average
Pierrot,Comedy,3,Original,Shoujo,12,24,Medium,Low,4.29,9.1,2,Spring,2021,1,6.94,48.9,Average
Diomedea,Slice of Life,1,Manga,Shounen,13,24,Low,Medium,1.06,2.2,3,Winter,2017,0,2.72,29.9,Flop
Trigger,Drama,3,Web Novel,Josei,100,24,Medium,Low,4.88,5.5,5,Fall,2018,1,6.04,48.4,Average
A-1 Pictures,Drama,3,Visual Novel,Shoujo,12,24,High,Low,4.79,16.8,6,Winter,2015,1,5.36,56.4,Flop
WIT Studio,Comedy,2,Manga,Shounen,50,24,Low,High,4.51,5.5,8,Winter,2022,1,8.51,100.0,Hit
Zero-G,Psychological,3,Manga,Josei,24,24,Medium,Medium,5.81,11.5,5,Winter,2016,0,5.87,42.4,Flop
Production I.G,Adventure,3,Light Novel,Shounen,12,24,Medium,Low,5.7,10.2,5,Summer,2017,1,7.4,93.1,Hit
Bones,Fantasy,3,Manga,Shounen,12,24,Medium,Low,6.87,10.0,6,Spring,2020,0,7.68,71.3,Hit
Studio Deen,Action,1,Light Novel,Shoujo,24,12,Medium,Medium,3.33,5.6,5,Spring,2016,1,2.46,21.0,Flop
A-1 Pictures,Action,1,Manga,Seinen,50,24,Medium,Medium,3.91,5.2,9,Spring,2018,0,8.79,97.9,Hit
Madhouse,Action,1,Original,Seinen,24,24,Medium,Medium,4.63,8.9,5,Winter,2023,0,8.27,45.6,Average
Trigger,Adventure,2,Light Novel,Seinen,26,24,Medium,Low,6.59,9.5,7,Summer,2020,1,6.55,74.4,Average
Diomedea,Slice of Life,3,Game,Shoujo,13,24,Low,Medium,4.74,11.8,6,Summer,2022,0,3.06,17.2,Flop
Doga Kobo,Mecha,3,Manga,Shounen,12,24,Low,Low,5.45,12.4,2,Fall,2024,0,5.75,50.1,Flop
Doga Kobo,Drama,2,Manga,Shounen,12,24,Medium,Medium,3.92,7.2,4,Summer,2017,0,6.05,69.4,Average
J.C.Staff,Sports,1,Game,Shounen,26,24,Low,Medium,5.21,10.1,8,Spring,2024,0,4.12,35.6,Flop
Toei Animation,Supernatural,1,Manga,Seinen,13,24,Medium,Medium,4.42,17.3,1,Fall,2023,0,6.91,65.4,Average
MAPPA,Supernatural,3,Light Novel,Seinen,25,24,Medium,Medium,4.49,10.9,9,Fall,2019,0,8.16,98.1,Hit
Studio Deen,Drama,3,Manga,Shoujo,12,24,Low,High,6.34,5.1,5,Spring,2021,1,6.59,83.1,Hit
A-1 Pictures,Comedy,2,Original,Shounen,100,24,Medium,Medium,2.29,8.4,6,Winter,2024,1,5.33,50.1,Flop
Trigger,Drama,2,Light Novel,Shoujo,12,12,Low,Medium,4.75,6.0,6,Winter,2016,1,6.73,59.9,Average
Doga Kobo,Slice of Life,3,Manga,Seinen,12,24,Medium,High,2.87,10.1,3,Spring,2019,0,7.37,91.4,Hit
Trigger,Fantasy,3,Visual Novel,Josei,24,24,Low,Medium,5.05,6.2,14,Fall,2018,1,7.73,61.2,Average
Silver Link,Sci-Fi,2,Manga,Shoujo,12,24,Low,Low,5.92,4.7,3,Winter,2021,1,6.39,39.4,Flop
WIT Studio,Slice of Life,1,Original,Seinen,25,12,Medium,Medium,5.14,11.1,7,Spring,2022,1,9.66,97.6,Hit
Bones,Drama,3,Light Novel,Shoujo,26,24,High,Medium,5.87,10.8,5,Spring,2016,1,10.0,100.0,Hit
Studio Deen,Mecha,3,Web Novel,Seinen,13,12,Medium,Low,2.53,1.0,5,Fall,2020,1,6.0,47.5,Flop
Production I.G,Horror,1,Manga,Shounen,13,24,Low,Medium,5.51,8.8,9,Fall,2018,1,10.0,94.0,Hit
J.C.Staff,Mystery,1,Light Novel,Shounen,50,24,Low,Low,4.51,4.8,5,Fall,2022,0,4.94,54.0,Flop
Sunrise,Romance,3,Visual Novel,Seinen,25,24,Medium,Low,3.8,11.5,6,Spring,2015,0,7.07,87.6,Hit
Doga Kobo,Supernatural,1,Light Novel,Shounen,24,24,Medium,Medium,6.24,10.0,5,Fall,2016,1,6.63,51.2,Average
MAPPA,Slice of Life,3,Original,Shounen,13,24,Low,Low,6.56,2.8,10,Summer,2015,1,10.0,100.0,Hit
Zero-G,Action,1,Light Novel,Seinen,12,24,Medium,High,3.45,3.9,4,Fall,2016,1,6.56,51.7,Average
MAPPA,Slice of Life,1,Manga,Shounen,13,24,Medium,Low,5.52,7.3,6,Fall,2019,0,9.51,75.3,Hit
Zero-G,Sci-Fi,2,Web Novel,Shounen,24,24,High,Medium,6.65,6.4,7,Fall,2021,0,4.8,64.0,Flop
Production I.G,Supernatural,2,Light Novel,Shoujo,12,24,High,Medium,3.36,7.0,8,Winter,2019,0,7.94,69.2,Hit
Production I.G,Psychological,1,Manga,Shounen,12,12,Medium,Low,5.33,5.5,9,Summer,2024,1,7.04,71.6,Average
ufotable,Sci-Fi,3,Light Novel,Seinen,50,24,Low,Low,6.01,0.0,3,Spring,2024,0,8.02,65.9,Hit
ufotable,Slice of Life,1,Manga,Shounen,50,24,High,Low,6.09,11.3,10,Fall,2016,1,9.81,100.0,Hit
Trigger,Isekai,3,Web Novel,Shounen,100,12,High,Low,6.55,1.5,8,Spring,2021,1,8.64,79.3,Hit
Doga Kobo,Supernatural,2,Visual Novel,Shounen,12,24,Medium,High,6.27,15.6,2,Summer,2022,0,9.04,97.7,Hit
Sunrise,Action,3,Manga,Seinen,26,24,Low,Medium,4.41,5.3,7,Spring,2024,0,9.2,100.0,Hit
Silver Link,Horror,3,Light Novel,Josei,50,24,Low,Low,3.5,8.2,6,Winter,2019,1,4.4,42.5,Flop
